executable,n,threads,real_time_seconds,cpu_time_seconds
orig_openmp,5000,31,5.845835,123.568709
orig_openmp,5000,32,6.155966,127.118121
orig_openmp,5000,33,6.373450,135.892024
orig_openmp,5000,34,6.139928,135.740532
orig_openmp,5000,35,6.976764,148.756035
orig_openmp,5000,36,6.841125,151.342655
orig_openmp,5000,37,6.536492,142.905998
orig_openmp,5000,38,7.478108,167.275992
orig_openmp,5000,39,7.135494,159.660786
orig_openmp,5000,40,8.064409,186.451955
