executable,returncode,n,threads,real_time_seconds,cpu_time_seconds
blas_like_openmp,0,15000,21,18.313871,259.323919
blas_like_openmp,0,15000,22,20.282576,274.138277
blas_like_openmp,0,15000,23,17.443243,293.394225
blas_like_openmp,0,15000,24,18.511377,313.027056
blas_like_openmp,0,15000,25,19.948661,349.240339
blas_like_openmp,0,15000,26,19.624623,360.619199
blas_like_openmp,0,15000,27,19.819734,369.695629
blas_like_openmp,0,15000,28,19.544178,364.775197
blas_like_openmp,0,15000,29,19.425554,372.851722
blas_like_openmp,0,15000,30,17.784540,390.022122
blas_like_openmp,0,15000,31,18.224692,398.918609
blas_like_openmp,0,15000,32,17.893341,391.218148
blas_like_openmp,0,15000,33,17.969708,385.950232
blas_like_openmp,0,15000,34,18.517084,388.736799
blas_like_openmp,0,15000,35,17.403879,387.625214
blas_like_openmp,0,15000,36,18.061036,391.570334
blas_like_openmp,0,15000,37,17.771262,389.837327
blas_like_openmp,0,15000,38,17.672836,390.483856
blas_like_openmp,0,15000,39,18.012084,393.292924
blas_like_openmp,0,15000,40,18.583911,397.996103
